floor,price,size,exterior,rooms,bathrooms,latitude,longitude,distance,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,codbar_1,codbar_2,codbar_3,codbar_4,codbar_5,coddistrit_1,coddistrit_2,coddistrit_3
1.0,475000,169.0,1,4,3,40.4428309,-3.575507,11385,1,1,2811,0,0,1,1,0,0,1,0,0,0,1,0,1.0,1.0,0.0,-1.0,-2.0,1.0,-2.0,-1.0
3.0,535000,126.0,1,2,2,40.4384908,-3.6314882,6646,0,1,4246,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0,-1.0,-1.0,-2.0,1.0,-2.0,-1.0
1.0,572150,101.0,1,2,2,40.4424686,-3.7180523,734,0,0,5665,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
3.0,165000,84.0,1,3,1,40.44127,-3.61058,8414,0,1,1964,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0.0,0.0,-2.0,1.0,-2.0,-1.0
6.0,345000,90.0,1,3,1,40.455325,-3.5865827,10581,0,1,3833,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,-2.0,-1.0,-1.0,1.0,-2.0,-1.0
1.0,229900,71.0,1,3,1,40.4380317,-3.6318612,6616,0,1,3238,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-2.0,1.0,-2.0,-1.0
1.0,1000000,185.0,1,2,1,40.4529705,-3.6957583,1879,0,1,5405,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
1.0,540000,131.0,1,3,2,40.5063343,-3.7050289,7387,0,1,4122,0,0,1,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,-3.0,-1.0,-1.0,-1.0,-1.0
1.0,1185000,190.0,1,4,3,40.4295803,-3.6794711,2831,0,1,6237,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
3.0,740000,129.0,1,4,2,40.450343,-3.6793682,2835,0,1,5736,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2.0,630000,146.0,1,3,2,40.4407043,-3.6646012,3842,0,1,4315,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
1.0,540000,131.0,1,3,2,40.4368957,-3.7045796,574,0,1,4122,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
4.0,760000,70.0,1,1,2,40.4260023,-3.6880227,2425,0,1,10857,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
2.0,1850000,335.0,1,4,4,40.4362083,-3.6938246,1432,0,1,5522,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
