floor,price,propertyType,size,exterior,rooms,bathrooms,latitude,longitude,distance,status,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit
4.0,98000,flat,83.0,True,3,1,40.3887179,-3.7243082,5829,renew,False,0.0,1181,False,0.0,False,False,112.0,11.0
1.0,140000,flat,74.0,False,3,1,40.4762323,-3.6347655,7532,renew,False,1.0,1892,False,0.0,False,False,166.0,16.0
2.0,340000,flat,50.0,False,2,1,40.4319435,-3.6751632,3081,good,False,1.0,6800,False,0.0,False,False,45.0,4.0
13.0,260000,flat,95.0,True,3,1,40.4350073,-3.6593669,4320,renew,False,1.0,2737,False,0.0,False,False,154.0,15.0
3.0,290100,flat,59.0,True,1,1,40.4496764,-3.5963505,9676,good,False,1.0,4917,False,0.0,True,True,206.0,20.0
2.0,257000,flat,160.0,True,3,1,40.3791279,-3.7471144,7462,good,False,0.0,1606,False,0.0,True,True,115.0,11.0
3.0,250000,flat,80.0,True,3,1,40.4225058,-3.6574795,4852,good,False,1.0,3125,False,0.0,False,False,151.0,15.0
4.0,120000,flat,75.0,True,3,1,40.39556,-3.6682835,6073,good,False,0.0,1600,False,0.0,True,True,132.0,13.0
2.0,110000,flat,77.0,True,3,1,40.3550955,-3.682462,9724,good,False,0.0,1429,False,0.0,False,False,173.0,17.0
6.0,685000,duplex,171.0,True,4,2,40.5066118,-3.6726021,8053,good,False,1.0,4006,False,0.0,False,False,86.0,8.0
3.0,249900,flat,87.0,True,3,2,40.3815643,-3.6053984,10983,good,False,1.0,2872,False,0.0,True,True,182.0,18.0
2.0,163000,flat,53.0,True,1,1,40.37453,-3.6261,10171,good,False,1.0,3075,False,0.0,True,True,181.0,18.0
1.0,279000,flat,68.0,True,2,1,40.4557597,-3.7050428,1801,good,False,1.0,4103,False,0.0,False,False,61.0,6.0
0.0,72260,flat,72.0,True,3,1,40.3511812,-3.6868043,10069,renew,False,0.0,1004,False,0.0,False,False,174.0,17.0
1.0,168000,flat,77.0,True,3,2,40.4018359,-3.6089994,9544,good,False,1.0,2182,False,0.0,False,False,191.0,19.0
1.0,104500,flat,60.0,True,3,1,40.4073177,-3.6151773,8810,good,False,0.0,1742,False,0.0,False,False,192.0,19.0
1.0,499000,flat,115.0,True,3,2,40.41058,-3.6964473,3466,renew,False,1.0,4339,False,0.0,False,False,12.0,1.0
4.0,1670000,flat,201.0,True,3,2,40.4309315,-3.6848356,2356,good,False,1.0,8308,False,0.0,True,False,46.0,4.0
5.0,205000,flat,80.0,True,3,1,40.4743908,-3.6485482,6453,good,False,1.0,2563,False,0.0,False,False,164.0,16.0
3.0,700000,flat,124.0,True,2,2,40.4284704,-3.6998065,1545,good,False,1.0,5645,False,0.0,False,False,14.0,1.0
4.0,795000,penthouse,242.0,True,5,4,40.4412867,-3.6365542,6216,good,False,1.0,3285,False,0.0,True,False,208.0,20.0
0.0,480000,flat,77.0,True,1,1,40.4257019,-3.6787645,3084,good,False,1.0,6234,False,0.0,False,False,42.0,4.0
4.0,260000,flat,79.0,True,3,1,40.4395666,-3.6424725,5714,renew,False,1.0,3291,False,0.0,True,True,153.0,15.0
1.0,215000,flat,101.0,True,3,1,40.3853769,-3.7254092,6212,good,False,0.0,2129,False,0.0,False,False,117.0,11.0
0.0,89000,flat,43.0,False,2,1,40.4958899,-3.6882359,6481,good,False,1.0,2070,False,0.0,False,False,86.0,8.0
4.0,385000,flat,103.0,True,5,2,40.4238702,-3.661219,4501,good,False,1.0,3738,False,0.0,False,False,43.0,4.0
1.0,235000,flat,40.0,False,1,1,40.4349246,-3.675665,2959,good,False,0.0,5875,False,0.0,False,False,45.0,4.0
1.0,400000,flat,145.0,True,3,2,40.45342,-3.7046,1560,renew,False,1.0,2759,False,0.0,True,True,61.0,6.0
1.0,136000,studio,25.0,False,0,1,40.3990743,-3.6906613,4836,good,False,0.0,5440,False,0.0,False,False,25.0,2.0
1.0,795000,flat,140.0,True,3,3,40.4215713,-3.6745361,3634,good,False,1.0,5679,False,0.0,False,False,42.0,4.0
3.0,135000,flat,55.0,True,1,1,40.4509977,-3.7001716,1478,good,False,0.0,2455,False,0.0,False,False,62.0,6.0
7.0,500000,flat,148.0,True,4,2,40.4782626,-3.6600723,5995,good,False,1.0,3378,False,0.0,True,True,165.0,16.0
5.0,790000,penthouse,225.0,True,4,2,40.4012734,-3.6755063,5202,good,False,1.0,3511,False,0.0,True,False,31.0,3.0
5.0,1200000,flat,215.0,True,4,2,40.4610394,-3.6668338,4337,renew,False,1.0,5581,False,0.0,True,True,55.0,5.0
0.0,114900,flat,52.0,True,1,1,40.4027274,-3.7487877,5287,good,False,0.0,2210,False,0.0,False,False,103.0,10.0
5.0,1695000,flat,239.0,True,4,3,40.4364578,-3.6813711,2454,good,False,1.0,7092,False,0.0,False,False,46.0,4.0
1.0,855000,flat,269.0,True,4,3,40.4962504,-3.6199669,9854,good,False,1.0,3178,False,0.0,True,True,166.0,16.0
6.0,150000,flat,77.0,True,3,1,40.4929785,-3.6921949,6080,good,False,1.0,1948,False,0.0,False,False,86.0,8.0
2.0,195000,flat,79.0,True,2,1,40.4328499,-3.6437505,5662,good,False,0.0,2468,False,0.0,False,False,152.0,15.0
3.0,46000,flat,25.0,False,1,1,40.4709103,-3.6520658,5986,good,False,0.0,1840,False,0.0,False,False,164.0,16.0
4.0,950000,flat,135.0,True,2,3,40.4273984,-3.6786102,3003,good,False,1.0,7037,False,0.0,False,False,42.0,4.0
2.0,255500,flat,58.0,True,1,1,40.4214206,-3.6012932,9429,good,False,1.0,4405,False,0.0,False,False,205.0,20.0
3.0,449900,flat,89.0,False,2,1,40.4239535,-3.6776088,3270,good,False,1.0,5055,False,0.0,False,False,42.0,4.0
3.0,449900,flat,89.0,False,2,1,40.4223535,-3.6773088,3391,good,False,1.0,5055,False,0.0,False,False,42.0,4.0
5.0,850000,penthouse,127.0,True,2,2,40.4553981,-3.6928988,2241,good,False,1.0,6693,False,0.0,True,True,62.0,6.0
7.0,1795000,penthouse,172.0,True,4,4,40.4236046,-3.6804664,3093,good,False,1.0,10436,False,0.0,False,False,41.0,4.0
1.0,745000,flat,209.0,True,9,3,40.4232372,-3.7035817,1941,renew,False,0.0,3565,False,0.0,False,False,15.0,1.0
4.0,77000,flat,55.0,True,2,1,40.4266114,-3.620823,7692,renew,False,0.0,1400,False,0.0,False,False,203.0,20.0
3.0,172280,flat,78.0,True,2,2,40.403791,-3.5663555,12808,newdevelopment,True,1.0,2209,False,0.0,True,True,191.0,19.0
2.0,128000,flat,63.0,True,3,1,40.3705181,-3.7600553,8811,good,False,1.0,2032,False,0.0,False,False,116.0,11.0
5.0,257000,studio,40.0,False,0,1,40.4275674,-3.6777297,3061,good,False,1.0,6425,False,0.0,True,False,42.0,4.0
2.0,129900,flat,65.0,False,2,1,40.384808,-3.70444,6154,good,False,0.0,1998,False,0.0,False,False,124.0,12.0
2.0,1312000,flat,148.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8865,False,0.0,True,True,45.0,4.0
0.0,2938000,duplex,241.0,True,4,2,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,12191,False,0.0,True,True,45.0,4.0
0.0,1015000,flat,107.0,True,1,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,9486,False,0.0,True,True,45.0,4.0
0.0,2497000,duplex,196.0,True,3,2,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,12740,False,0.0,True,True,45.0,4.0
1.0,710000,flat,87.0,True,1,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8161,False,0.0,True,True,45.0,4.0
0.0,1491000,duplex,214.0,True,2,2,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,6967,False,0.0,True,True,45.0,4.0
0.0,1985000,duplex,163.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,12178,False,0.0,True,True,45.0,4.0
1.0,1253000,flat,148.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8466,False,0.0,True,True,45.0,4.0
1.0,1134000,flat,144.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,7875,False,0.0,True,True,45.0,4.0
4.0,1412000,flat,146.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,9671,False,0.0,True,True,45.0,4.0
1.0,1268000,flat,153.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8288,False,0.0,True,True,45.0,4.0
2.0,668000,flat,78.0,True,1,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8564,False,0.0,True,True,45.0,4.0
1.0,640000,flat,73.0,True,1,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8767,False,0.0,True,True,45.0,4.0
0.0,1087000,flat,120.0,True,1,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,9058,False,0.0,True,True,45.0,4.0
4.0,1458000,flat,163.0,True,2,1,40.4309256,-3.6744854,3170,newdevelopment,True,1.0,8945,False,0.0,True,True,45.0,4.0
0.0,888000,chalet,185.0,False,4,2,40.4553708,-3.6629018,4336,renew,False,0.0,4800,False,0.0,False,False,157.0,15.0
3.0,495000,flat,156.0,True,4,2,40.47126,-3.68637,4009,renew,False,1.0,3173,False,0.0,False,False,56.0,5.0
1.0,270000,flat,57.0,False,1,1,40.4348095,-3.7010767,950,good,False,1.0,4737,False,0.0,False,False,73.0,7.0
0.0,100000,flat,72.0,True,2,1,40.3986751,-3.6652353,5955,renew,False,0.0,1389,False,0.0,False,False,136.0,13.0
2.0,169000,flat,80.0,True,3,1,40.3758854,-3.7445564,7705,good,False,0.0,2113,False,0.0,True,True,115.0,11.0
4.0,119800,flat,68.0,True,3,1,40.3847915,-3.7036876,6161,good,False,0.0,1762,False,0.0,False,False,124.0,12.0
2.0,229000,flat,99.0,False,3,2,40.3918976,-3.6654044,6546,good,False,1.0,2313,False,0.0,False,False,132.0,13.0
0.0,3850000,chalet,1060.0,False,8,5,40.455186,-3.6315782,6847,good,False,0.0,3632,False,0.0,True,True,162.0,16.0
0.0,1500000,chalet,372.0,False,5,5,40.4577186,-3.6303358,7022,good,False,0.0,4032,False,0.0,True,True,162.0,16.0
0.0,173000,studio,36.0,False,0,1,40.4379865,-3.7079943,280,good,False,1.0,4806,False,0.0,False,False,72.0,7.0
1.0,240000,flat,55.0,True,2,1,40.4083984,-3.7085079,3516,renew,False,0.0,4364,False,0.0,False,False,12.0,1.0
5.0,349000,flat,77.0,True,2,2,40.4487436,-3.6624623,4138,good,False,1.0,4532,False,0.0,True,False,52.0,5.0
2.0,225000,flat,35.0,False,1,1,40.4307774,-3.6665328,3818,good,False,0.0,6429,False,0.0,False,False,44.0,4.0
1.0,148900,flat,38.0,True,1,1,40.4750636,-3.5807559,11608,good,False,0.0,3918,False,0.0,False,False,213.0,21.0
1.0,115700,studio,40.0,False,0,1,40.3972799,-3.7326144,5121,good,False,1.0,2893,False,0.0,False,False,113.0,11.0
2.0,319923,flat,87.0,True,3,1,40.4297458,-3.6387672,6135,good,False,1.0,3677,False,0.0,False,False,152.0,15.0
1.0,143110,flat,63.0,True,3,1,40.3934398,-3.7590174,6634,good,False,1.0,2272,False,0.0,False,False,104.0,10.0
6.0,456490,flat,87.0,True,2,2,40.4083381,-3.6721503,4760,good,False,1.0,5247,False,0.0,False,False,36.0,3.0
1.0,1270012,flat,204.0,True,6,2,40.4263236,-3.6791286,3023,good,False,1.0,6226,False,0.0,False,False,42.0,4.0
1.0,417930,flat,106.0,True,4,2,40.4403876,-3.6639271,3899,good,False,1.0,3943,False,0.0,False,False,44.0,4.0
2.0,418000,flat,85.0,True,2,2,40.4858904,-3.6680903,6213,good,False,1.0,4918,False,0.0,False,False,166.0,16.0
1.0,213000,flat,40.0,True,1,1,40.4854904,-3.6693903,6114,good,False,1.0,5325,False,0.0,False,False,166.0,16.0
0.0,1148900,flat,138.0,True,1,2,40.4393908,-3.686754,1968,good,False,1.0,8325,False,0.0,False,False,51.0,5.0
3.0,92000,flat,54.0,True,2,1,40.34546,-3.7146145,10519,good,False,0.0,1704,False,0.0,False,False,171.0,17.0
3.0,126500,flat,70.0,True,3,1,40.3473938,-3.7155202,10307,good,False,0.0,1807,False,0.0,False,False,171.0,17.0
2.0,346900,flat,68.0,True,2,1,40.4468656,-3.6699183,3476,good,False,1.0,5101,False,0.0,False,False,52.0,5.0
0.0,182400,flat,116.0,True,3,2,40.3702119,-3.6207495,10831,good,False,1.0,1572,False,0.0,False,False,181.0,18.0
3.0,184500,flat,61.0,True,2,1,40.4381407,-3.6433378,5645,good,False,1.0,3025,False,0.0,False,False,153.0,15.0
2.0,246000,flat,64.0,True,2,2,40.4754636,-3.5802559,11663,good,False,0.0,3844,False,0.0,False,False,213.0,21.0
3.0,255000,flat,101.0,True,3,2,40.4567835,-3.5891773,10392,renew,False,1.0,2525,False,0.0,False,False,211.0,21.0
3.0,99900,flat,60.0,True,3,1,40.4243983,-3.6177334,7999,good,False,0.0,1665,False,0.0,False,False,204.0,20.0
0.0,335000,flat,52.0,False,2,1,40.4446489,-3.6954406,1336,good,False,1.0,6442,False,0.0,False,False,75.0,7.0
3.0,99000,flat,65.0,True,2,1,40.3828281,-3.6705793,7179,good,False,0.0,1523,False,0.0,False,False,131.0,13.0
1.0,180000,flat,33.0,False,1,1,40.4091386,-3.7150516,3458,good,False,1.0,5455,False,0.0,False,False,11.0,1.0
4.0,515000,flat,145.0,True,3,3,40.4785092,-3.6678393,5572,good,False,1.0,3552,False,0.0,False,False,159.0,15.0
0.0,127000,flat,75.0,True,3,1,40.37841,-3.67365,7507,good,False,0.0,1693,False,0.0,False,False,131.0,13.0
6.0,139000,flat,49.0,True,1,1,40.3790414,-3.6353071,9269,good,False,1.0,2837,False,0.0,False,False,181.0,18.0
0.0,165000,flat,49.0,True,2,1,40.3950329,-3.6587247,6621,good,False,1.0,3367,False,0.0,False,False,136.0,13.0
1.0,370000,flat,91.0,False,4,2,40.4469796,-3.7095648,776,renew,False,1.0,4066,False,0.0,False,False,76.0,7.0
19.0,340000,flat,60.0,True,1,1,40.4477722,-3.7161575,1009,good,False,1.0,5667,False,0.0,True,True,93.0,9.0
1.0,319000,flat,106.0,True,3,2,40.4468684,-3.5996814,9366,good,False,1.0,3009,False,0.0,True,True,206.0,20.0
3.0,340000,flat,65.0,False,2,1,40.424334,-3.6978804,2021,renew,False,0.0,5231,False,0.0,False,False,14.0,1.0
2.0,475000,flat,118.0,True,3,2,40.4105584,-3.6568577,5563,good,False,1.0,4025,False,0.0,True,True,144.0,14.0
