propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,subTypology,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit,codbarrio,barrio,distrito
94637288,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/85/85/894133269.jpg,,34,3,239000,flat,sale,79.0,True,3,1,virgen de lluc,Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4401021,-3.6441994,False,https://www.idealista.com/inmueble/94637288/,5568,False,renew,False,1.0,3025,"{'subtitle': 'Quintana, Madrid', 'title': 'Piso en virgen de lluc'}",False,False,False,False,False,,,,,153.0,15.0,15-3,Quintana,Ciudad Lineal
94637162,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/cb/d7/894129602.jpg,,33,3,1250000,flat,sale,234.0,True,4,3,"Calle de Vallehermoso, 30",Madrid,Madrid,Chamberí,es,Arapiles,40.4334255,-3.708577,True,https://www.idealista.com/inmueble/94637162/,740,False,good,False,1.0,5342,"{'subtitle': 'Arapiles, Madrid', 'title': 'Piso en Calle de Vallehermoso, 30'}",False,False,False,False,False,,,True,False,72.0,7.0,7-2,Arapiles,Chamberí
94634042,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5e/ed/3d/894033202.jpg,,14,5,429000,flat,sale,100.0,True,2,2,Cerro Negro,Madrid,Madrid,Retiro,es,Adelfas,40.397514,-3.6714491,False,https://www.idealista.com/inmueble/94634042/,5741,True,good,False,1.0,4290,"{'subtitle': 'Adelfas, Madrid', 'title': 'Piso en Cerro Negro'}",True,False,False,False,False,,,True,True,32.0,3.0,3-2,Adelfas,Retiro
94590047,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ec/cc/bb/892788629.jpg,,14,1,169000,studio,sale,30.0,True,0,1,Calle de la Ballesta,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4239961,-3.7022089,False,https://www.idealista.com/inmueble/94590047/,1897,False,good,False,0.0,5633,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Estudio en Calle de la Ballesta'}",True,False,False,False,False,,studio,,,15.0,1.0,1-5,Universidad,Centro
94635206,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/1d/25/894069159.jpg,,35,1,399000,flat,sale,101.0,True,2,2,Calle Buitrago del Lozoya,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4702389,-3.7155445,False,https://www.idealista.com/inmueble/94635206/,3394,False,good,False,1.0,3950,"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle Buitrago del Lozoya'}",False,False,False,False,False,,,True,True,83.0,8.0,8-3,Peña Grande,Fuencarral - El Pardo
94633864,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/19/ca/894028882.jpg,,16,5,615000,flat,sale,115.0,True,3,2,Plaza niño Jesus,Madrid,Madrid,Retiro,es,Niño Jesús,40.4100215,-3.6767246,False,https://www.idealista.com/inmueble/94633864/,4363,False,good,False,1.0,5348,"{'subtitle': 'Niño Jesús, Madrid', 'title': 'Piso en Plaza niño Jesus'}",True,False,False,False,False,,,True,True,36.0,3.0,3-6,Niño Jesús,Retiro
94631643,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/a7/0a/893983723.jpg,Solu096,48,bj,233000,duplex,sale,136.0,True,3,2,Calle Principal,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3351841,-3.7009596,False,https://www.idealista.com/inmueble/94631643/,11679,False,good,False,1.0,1713,"{'subtitle': 'Villaverde Alto, Madrid', 'title': 'Dúplex en Calle Principal'}",False,False,False,False,False,,duplex,True,True,171.0,17.0,17-1,San Andrés,Villaverde
94627744,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/e7/55/893871338.jpg,am-2103,23,1,125500,flat,sale,60.0,False,2,1,Calle de San Cipriano,Madrid,Madrid,Vicálvaro,es,Casco Histórico de Vicálvaro,40.4052821,-3.6034841,False,https://www.idealista.com/inmueble/94627744/,9807,False,good,False,0.0,2092,"{'subtitle': 'Casco Histórico de Vicálvaro, Madrid', 'title': 'Piso en Calle de San Cipriano'}",True,False,False,False,False,,,,,191.0,19.0,19-1,Casco Histórico de Vicálvaro,Vicálvaro
94624275,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/fa/14/893779580.jpg,PUEBLO NUEVO,26,en,215000,flat,sale,88.0,True,3,2,Calle Germán Pérez Carrasco s/n,Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4363528,-3.6433421,True,https://www.idealista.com/inmueble/94624275/,5655,False,good,False,0.0,2443,"{'subtitle': 'Quintana, Madrid', 'title': 'Piso en Calle Germán Pérez Carrasco s/n'}",True,False,False,False,False,,,,,153.0,15.0,15-3,Quintana,Ciudad Lineal
94007524,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/36/2b/877495013.jpg,1866,88,14,779000,flat,sale,183.0,True,3,2,barrio Virgen del Cortijo - Manoteras,Madrid,Madrid,Hortaleza,es,Virgen del Cortijo - Manoteras,40.48384,-3.67198,False,https://www.idealista.com/inmueble/94007524/,5840,True,good,False,1.0,4257,"{'subtitle': 'Virgen del Cortijo - Manoteras, Madrid', 'title': 'Piso'}",True,False,True,False,False,,,True,True,159.0,15.0,15-9,Costillares,Ciudad Lineal
94633860,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/0f/b0/16/889108116.jpg,,24,1,335000,duplex,sale,59.0,True,2,2,"Almagro, 28",Madrid,Madrid,Chamberí,es,Almagro,40.4299564,-3.6924756,True,https://www.idealista.com/inmueble/94633860/,1856,False,good,False,1.0,5678,"{'subtitle': 'Almagro, Madrid', 'title': 'Dúplex en Almagro, 28'}",False,False,False,False,False,,duplex,,,74.0,7.0,7-4,Almagro,Chamberí
94626437,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/eb/da/202592016.jpg,210629-03,25,2,190000,flat,sale,90.0,True,3,1,Calle Manresa,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4922069,-3.6975164,False,https://www.idealista.com/inmueble/94626437/,5900,False,good,False,0.0,2111,"{'subtitle': 'Tres Olivos - Valverde, Madrid', 'title': 'Piso en Calle Manresa'}",True,False,False,False,False,,,,,86.0,8.0,8-6,Valverde,Fuencarral - El Pardo
94642834,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/48/3c/881669789.jpg,Villalar 3 Venta,63,5,1230000,duplex,sale,140.0,True,2,2,"Calle Villalar, 5",Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4210403,-3.6900007,True,https://www.idealista.com/inmueble/94642834/,2703,False,good,False,1.0,8786,"{'subtitle': 'Recoletos, Madrid', 'title': 'Dúplex en Calle Villalar, 5'}",False,False,False,False,False,,duplex,True,True,41.0,4.0,4-1,Recoletos,Salamanca
94643311,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/ac/63/894299025.jpg,RP47202186798,14,1,107500,flat,sale,63.0,True,3,1,barrio Villaverde Alto,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.342992,-3.712433,False,https://www.idealista.com/inmueble/94643311/,10788,False,good,False,0.0,1706,"{'subtitle': 'Villaverde Alto, Madrid', 'title': 'Piso'}",False,False,False,False,False,,,,,171.0,17.0,17-1,San Andrés,Villaverde
94641246,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/1b/40/894232862.jpg,W-02I4BI,16,7,475000,penthouse,sale,83.0,True,2,1,barrio Nuevos Ministerios-Ríos Rosas,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4407619,-3.6957198,False,https://www.idealista.com/inmueble/94641246/,1211,True,good,False,1.0,5723,"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Ático'}",False,False,False,False,False,,penthouse,,,75.0,7.0,7-5,Rios Rosas,Chamberí
94640295,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e6/ef/5b/894215925.jpg,W-02LDHE,18,5,750000,flat,sale,134.0,True,4,1,barrio Trafalgar,Madrid,Madrid,Chamberí,es,Trafalgar,40.4337659,-3.7029411,False,https://www.idealista.com/inmueble/94640295/,915,False,renew,False,1.0,5597,"{'subtitle': 'Trafalgar, Madrid', 'title': 'Piso'}",False,False,False,False,False,,,,,73.0,7.0,7-3,Trafalgar,Chamberí
94639703,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/b4/06/894202558.jpg,W-02M7RN,18,10,240000,flat,sale,99.0,True,3,1,barrio Zofío,Madrid,Madrid,Usera,es,Zofío,40.3830199,-3.7168427,False,https://www.idealista.com/inmueble/94639703/,6362,False,renew,False,1.0,2424,"{'subtitle': 'Zofío, Madrid', 'title': 'Piso'}",False,True,False,False,False,,,True,True,126.0,12.0,12-6,Zofío,Usera
94638406,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e2/53/a5/894164103.jpg,AR01296,26,bj,469500,flat,sale,131.0,False,3,2,Plaza Castilla,Madrid,Madrid,Tetuán,es,Ventilla-Almenara,40.4656598,-3.6882289,False,https://www.idealista.com/inmueble/94638406/,3396,False,good,False,1.0,3584,"{'subtitle': 'Ventilla-Almenara, Madrid', 'title': 'Piso en Plaza Castilla'}",False,False,False,False,False,,,,,55.0,5.0,5-5,Nueva España,Chamartín
94637277,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/69/de/894134237.jpg,JT-01136,28,6,890000,flat,sale,179.0,True,4,3,Calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Trafalgar,40.4321975,-3.6995074,False,https://www.idealista.com/inmueble/94637277/,1241,False,good,False,1.0,4972,"{'subtitle': 'Trafalgar, Madrid', 'title': 'Piso en Calle de Santa Engracia'}",False,False,False,False,False,,,,,73.0,7.0,7-3,Trafalgar,Chamberí
94633641,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/77/05/894025214.jpg,W-02LVUD,20,1,410000,flat,sale,68.0,True,1,1,barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4287234,-3.7061185,False,https://www.idealista.com/inmueble/94633641/,1296,False,renew,False,1.0,6029,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso'}",False,False,False,False,False,,,,,15.0,1.0,1-5,Universidad,Centro
93582825,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/d5/08/867765544.jpg,248971,29,6,310000,penthouse,sale,55.0,True,2,1,barrio Prosperidad,Madrid,Madrid,Chamartín,es,Prosperidad,40.446503,-3.6694585,False,https://www.idealista.com/inmueble/93582825/,3506,True,good,False,1.0,5636,"{'subtitle': 'Prosperidad, Madrid', 'title': 'Ático'}",True,False,True,False,False,,penthouse,,,52.0,5.0,5-2,Prosperidad,Chamartín
93155613,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/36/c2/885235690.jpg,M20012V,38,2,1250000,flat,sale,199.0,True,4,3,barrio Chueca-Justicia,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4223121,-3.7001804,False,https://www.idealista.com/inmueble/93155613/,2135,True,renew,False,1.0,6281,"{'subtitle': 'Chueca-Justicia, Madrid', 'title': 'Piso'}",True,False,True,False,False,,,,,14.0,1.0,1-4,Justicia,Centro
92566910,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/bf/af/842845494.jpg,pkp382,12,5,799000,flat,sale,163.0,True,3,2,barrio Argüelles,Madrid,Madrid,Moncloa,es,Argüelles,40.4291186,-3.7197083,False,https://www.idealista.com/inmueble/92566910/,1462,False,good,False,1.0,4902,"{'subtitle': 'Argüelles, Madrid', 'title': 'Piso'}",True,False,True,False,False,,,,,92.0,9.0,9-2,Argüelles,Moncloa - Aravaca
88550260,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/8d/f6/749398022.jpg,V0327MAC,19,1,830000,flat,sale,177.0,True,3,3,barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4664521,-3.6819229,False,https://www.idealista.com/inmueble/88550260/,3780,False,good,False,1.0,4689,"{'subtitle': 'Nueva España, Madrid', 'title': 'Piso'}",True,False,True,False,False,,,True,True,55.0,5.0,5-5,Nueva España,Chamartín
